                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9903,                 4.5723,                0.73323,                 7.6463,                  2.827,                0.01533,                0.47222,                0.01636,                0.00358,                0.01623,                    0.5,                0.01464,                0.00267,                 2.8285,                 4.6473,                0.70856,                 3.9633,                  2.759,                0.00014,                0.00014,                0.00014
                      2,                 2.0202,                 4.1453,                0.68505,                 2.5704,                  1.944,                   0.46,                0.63889,                 0.4639,                0.16996,                   0.54,                   0.75,                0.57369,                0.22011,                  1.791,                 3.5212,                0.64671,                 10.792,                 1.8875,              0.0002995,              0.0002995,              0.0002995
                      3,                 1.7127,                 2.9458,                 0.6266,                 1.6576,                 1.6722,                0.66667,                0.72222,                0.73323,                0.36049,                0.66667,                0.72222,                0.73323,                0.32333,                 1.6009,                 2.9466,                0.57792,                 7.0036,                 1.7687,             0.00045848,             0.00045848,             0.00045848
                      4,                 1.7395,                 2.4414,                0.54451,                 1.4048,                   1.62,                0.63276,                0.97222,                0.94042,                0.39658,                0.63276,                0.97222,                0.94042,                 0.3445,                 1.4283,                 2.4318,                 0.5213,                 3.0556,                  1.668,             0.00061693,             0.00061693,             0.00061693
                      5,                 1.5869,                 1.8796,                0.54136,                 1.2033,                 1.5717,                0.83928,                0.69444,                0.86133,                0.40866,                0.83928,                0.69444,                0.86133,                0.39904,                 1.5931,                 2.1729,                0.46827,                 1.3327,                  1.709,             0.00077485,             0.00077485,             0.00077485
                      6,                 1.5978,                 1.7767,                0.48255,                 1.0533,                 1.5092,                0.81477,                0.72222,                0.85934,                0.41542,                0.84853,                   0.75,                0.88861,                0.42843,                 1.6139,                   2.06,                0.43186,                 2.0186,                 1.6949,             0.00093224,             0.00093224,             0.00093224
                      7,                 1.6117,                 1.7662,                0.49225,                 1.1636,                 1.5373,                0.65772,                0.74736,                0.75567,                0.22149,                0.65142,                 0.9345,                0.81948,                0.25889,                 2.4145,                 2.7085,                0.39632,                 2.1454,                 2.7662,              0.0010891,              0.0010891,              0.0010891
                      8,                 1.6475,                 1.5856,                 0.4177,                 1.0429,                 1.6198,                0.90259,                0.77227,                  0.943,                0.42422,                0.82272,                0.88889,                0.94693,                0.57084,                 1.6782,                 1.6779,                0.28949,                  0.944,                 2.0797,              0.0012454,              0.0012454,              0.0012454
                      9,                 1.6257,                 1.5587,                0.41287,                 1.1065,                 1.6414,                0.89945,                0.83333,                0.90803,                0.47954,                0.89945,                0.83333,                0.90872,                0.55863,                 1.6049,                 1.4395,                0.14559,                 1.3764,                 1.8876,              0.0014013,              0.0014013,              0.0014013
                     10,                 1.6028,                 1.4316,                0.39724,                 1.2013,                 1.6469,                0.80676,                 0.8119,                0.82455,                0.41414,                0.80676,                 0.8119,                0.82455,                0.53923,                 1.6311,                 1.6559,                 0.1859,                 1.2057,                 2.0544,              0.0015565,              0.0015565,              0.0015565
                     11,                 1.6568,                 1.5021,                0.45753,                 1.2988,                 1.7518,                0.78586,                0.66667,                0.82784,                0.38461,                0.70083,                0.78092,                0.84866,                 0.5221,                 1.8009,                 1.4215,                0.06374,                 1.4442,                 2.2005,              0.0017113,              0.0017113,              0.0017113
                     12,                 1.6186,                 1.3473,                0.38669,                 1.1749,                 1.6833,                0.01787,                0.19444,                0.00933,                0.00382,                0.01787,                0.19444,                0.00803,                0.00379,                 2.8863,                 3.5694,                0.44202,                 17.313,                 2.8722,              0.0018655,              0.0018655,              0.0018655
                     13,                  1.585,                  1.271,                0.35747,                 1.1237,                 1.6392,                0.70825,                0.69444,                0.70399,                0.27229,                0.72634,                0.66362,                0.71863,                0.48167,                 1.8079,                 1.3741,                0.11371,                 3.9818,                 2.1239,              0.0019604,              0.0019604,              0.0019604
                     14,                 1.6348,                 1.1895,                0.38015,                 1.1631,                 1.6974,                0.54806,                0.44444,                0.43407,                0.18201,                0.51861,                0.38904,                0.42056,                0.22824,                 1.9012,                  1.695,                0.16669,                 1.8177,                 2.1804,              0.0019604,              0.0019604,              0.0019604
                     15,                 1.6594,                 1.3243,                0.34768,                 1.2359,                 1.7283,                0.57416,                0.16667,                0.15951,                0.08784,                0.57416,                0.16667,                0.16298,                0.11484,                 2.6376,                  1.544,                0.18717,                 3.3851,                 3.2679,              0.0019571,              0.0019571,              0.0019571
                     16,                  1.653,                 1.2748,                0.32866,                 1.1289,                 1.6854,                0.50515,                0.51058,                0.61637,                0.31049,                0.49666,                0.58333,                0.55784,                0.37291,                 1.5872,                0.82606,                0.06352,                 1.8141,                 2.0255,              0.0019538,              0.0019538,              0.0019538
                     17,                 1.5518,                 1.1443,                0.41371,                 1.0799,                 1.5742,                0.87144,                0.91667,                0.93272,                0.51103,                0.87144,                0.91667,                0.93272,                0.60899,                 1.3152,                 1.2025,                0.04234,                 1.2432,                 1.7266,              0.0019505,              0.0019505,              0.0019505
                     18,                 1.5714,                 1.1575,                0.31893,                 1.1211,                 1.6396,                0.75266,                0.80556,                0.84831,                0.41258,                0.75266,                0.80556,                0.84831,                0.60193,                 1.4942,                0.86613,                0.07402,                 1.3202,                 1.9154,              0.0019472,              0.0019472,              0.0019472
